native_pin,mdl_yr,mfg_dt,eph_decal_model_nm,end_cptr_dt,max_Total.Separator.Hours,end_engn_hours_Total.Separator.Hours,Mid_Latitude,Mid_Longitude,Header.Width, City,State,Country
1Z0T660AJEL07c6d8332,2014,4/1/2014,T660,11/27/2025,3047.95,4981.3,42.3,-5,7,Grajal de Campos,León,Spain
1CQS680AJF0090306,2015,3/6/2015,S680,9/16/2025,3492.1,4822,-11.5,-45.6,9.35,Riachão das Neves,Bahia,Brazil
1H0S670SLC0745941,2012,1/20/2012,S670,11/26/2025,3150.2,4673.45,46.8,-100.4,6.096,McKenzie,North Dakota,United States
1J0S660BAJ0125107,2018,8/17/2018,S660,12/11/2025,3906.15,5882.8,-36.1,-61.5,10.45,Herrera Vegas,Buenos Aires Province,Argentina
1J0S680BVF0110141,2016,1/29/2016,S680,12/11/2025,3978.05,6678.05,-35.6,-63.4,12.2,Agustoni,La Pampa,Argentina
1J0S670BHF0090083,2015,5/8/2015,S670,12/4/2025,6843.35,10205.5,-37.4,-63.8,12,Alpachiri,La Pampa,Argentina
1H0S680SCF0775642,2015,4/24/2015,S680,12/11/2025,3251.2,4603.7,-29.1,23.7,12.19,Siyancuma NU,Northern Cape,South Africa
1J0S670BPH0120157,2017,5/11/2017,S670,12/10/2025,4600.55,6699.3,-38.3,-60.5,12,Tres Arroyos,Buenos Aires Province,Argentina
1Z0T550BCFL0960e3734,2015,1/21/2015,T550,9/2/2025,3358,5538.8,37.3,-5.5,6.6,Paradas,Seville,Spain
1CQS680AJF0110134,2015,6/3/2015,S680,11/13/2025,4102.1,6157.3,0,0,11.9,,,
1Z0S770AEME1e05b5a44,2021,4/19/2021,S770,12/10/2025,3696,5921.3,50.7,32.5,5.6,Нова Ольшана,Chernihiv Oblast,Ukraine
1H0S660SAG07b1482eae,2016,6/20/2016,S660,12/2/2025,3449.2498,5254.6,53.3,66.7,9.143999,,North Kazakhstan,Kazakhstan
1J0S670BAK0125129,2018,4/1/2019,S670,12/11/2025,3781.15,5312.35,-37.8,-59.1,10.6,Tandil,Buenos Aires Province,Argentina
1J0S770BLL0135109,2020,7/18/2020,S770,9/15/2025,4390.45,6716.85,-35.3,-63.6,9.45,Intendente Alvear,La Pampa,Argentina
1Z0T660BVMU180590e45,2021,1/27/2021,T660,12/11/2025,3630.05,5282.5,41.7,0.4,,Lleida,Lleida,Spain
1Z0W540APFD0a6ed9de9,2015,7/13/2015,W540,11/1/2025,3735.9,5715.95,53.1,74.2,9.299999,,Pavlodar,Kazakhstan
1H0S670SCC0747930,2012,8/23/2012,S670,12/2/2025,3920.45,5481.95,0,0,10.668,,,
1J0S670BHH0120167,2017,5/22/2017,S670,12/11/2025,5981.95,8135.8,-38.8,-62.1,12,Villa General Arias,Buenos Aires Province,Argentina
1J0S670BTF0090041,2015,2/20/2015,S670,12/11/2025,8846.9,14150.85,-37.1,-63.6,12.2,Macachín,La Pampa,Argentina
1Z0S670BKFC0569aaec2,2015,5/20/2015,S670H,12/10/2025,3861.4998,5846.85,49.5,29.3,,Погребище,Vinnytsia Oblast,Ukraine
1H0S680SPD0765685,2014,12/10/2013,S680,12/10/2025,3226.4,4424.9,39.3,-75.7,6.096,Clayton,Delaware,United States
1H0S680SVE0766424,2014,5/6/2014,S680,9/27/2025,3362.35,4722.85,49.5,-111.2,12.192,Etzikom,Alberta,Canada
1J0S660BCF0090050,2015,4/15/2015,S660,11/15/2025,4620.85,7429.7,-27.1,-61.2,9.45,Pampa Ipora Guazu,Chaco,Argentina
1J0S670BTH0120156,2017,5/8/2017,S670,12/11/2025,3473.95,4861.65,-33.3,-64.2,11.98,Las Acequias,Córdoba,Argentina
1Z0S690AHHC107069,2017,6/28/2017,S690,12/11/2025,3018.25,3839.05,-32.3,118.5,12,Kondinin,Western Australia,Australia
1Z0T660BVCL01d54f024,2013,11/1/2012,T660,12/10/2025,4039,6596.7,48.7,18.2,6,Haláčovce,Trenčín,Slovakia
1H0S670HVC07f7ef5d3c,2012,2/13/2012,S670H,12/10/2025,3777.8499,5750.6333,48.1,32.9,9.099999,Новоолександрівка,Kirovohrad Oblast,Ukraine
1H0S670SLD0755533,2013,1/2/2013,S670,12/11/2025,4078.7,6221.2,-35.9,145.8,10.3,Boomanoomana,New South Wales,Australia
1H0S660SAD0756416,2013,7/31/2013,S660,3/18/2025,3175.4,5644.25,0,0,9,,,
1J0S550BEF0090013,2015,2/19/2015,S550,6/6/2025,3293.55,4496.05,-34.4,-65.2,7.32,Justo Daract,San Luis,Argentina
1J0S660BLH0120209,2017,9/22/2017,S660,12/11/2025,3540.15,5044.8,-35.2,-58.9,10.6,Lobos,Buenos Aires Province,Argentina
1J0S660BTJ0120285,2017,2/2/2018,S660,10/28/2025,3368.25,6182.6,-23.4,-64.2,10.5,Jeronimo Matorras,Salta,Argentina
1H0S680SVD0756569,2013,5/10/2013,S680,12/10/2025,3747.35,5131.45,-31.6,150.1,12,Coomoo Coomoo,New South Wales,Australia
1CQS680ALH0120123,2017,2/20/2017,S680,11/26/2025,3052.45,4241.1,-24.4,-54.5,8,La Paloma del Espíritu Santo,Canindeyú,Paraguay
1H0S670SLD0756357,2013,3/8/2013,S670,11/25/2025,3096.35,4529.6,0,0,9.144,,,
1J0S660BHJ0120329,2017,5/31/2018,S660,12/10/2025,4018.1,5507.45,-37.7,-59.4,10.5,Villa Cacique,Buenos Aires Province,Argentina
1J0S670BJJ0120409,2017,4/11/2018,S670,12/10/2025,4952.45,7398.25,-35.7,-63.6,11.85,Agustoni,La Pampa,Argentina
1H0S680SKD0756924,2013,6/11/2013,S680,11/7/2025,3016.45,4647.2,40.9,-86.5,6.096,Royal Center,Indiana,United States
1H0S690SJE0765423,2014,5/29/2014,S690,12/4/2025,3041.1,4083.25,-29.7,151,12,Rob Roy,New South Wales,Australia
1J0S770BTL0135133,2020,12/1/2020,S770,12/11/2025,3557.6,4752.35,-38.6,-59.7,12,San Cayetano,Buenos Aires Province,Argentina
1H0S680SCC0747876,2012,12/23/2012,S680,12/1/2025,4929.15,7311.9,-12.6,-55.1,11,,Mato Grosso,Brazil
1H0S670SJF0776606,2015,9/14/2015,S670,11/24/2025,3475.8,4580,-30.9,118.2,12.1,Mukinbudin,Western Australia,Australia
1Z0T660BEGL049815b73,2016,2/10/2016,T660,10/8/2025,4998.4995,8021.85,42.6,-2.3,6,Espronceda,Navarre,Spain
1CQS670AEG0110462,2016,7/12/2016,S670,12/5/2025,4625.9,6758.85,-27.9,-53.3,,Palmeira das Missões,Rio Grande do Sul,Brazil
1H0S680SAF0775823,2015,4/28/2015,S680,12/8/2025,3210,4448.85,-31.3,150.5,12,Breeza,New South Wales,Australia
1J0S680BKH0120117,2017,5/23/2017,S680,12/10/2025,3303.5,4826.9,-30.6,-62,,Morteros,Córdoba,Argentina
1H0S660SCG072108788d,2016,6/20/2016,S660,12/2/2025,3607,5473.65,53.3,66.7,9.143999,,North Kazakhstan,Kazakhstan
1H0S670SCC0746351,2012,3/7/2012,S670,12/8/2025,3301.75,5207.85,48.5,-100.7,6.096,Upham,North Dakota,United States
1H0S660SPC0755273,2013,12/7/2012,S660,11/21/2025,3058.45,4246.1,-29.7,151,13.4,Rob Roy,New South Wales,Australia
1H0S670SLD0757279,2013,6/10/2013,S670,12/9/2025,3492.05,5507.6,-34,-57.3,12.19,Castillos,Colonia,Uruguay
1H0S680SKD0765302,2014,11/18/2013,S680,11/26/2025,3173.15,4525.25,44.2,-81.3,7.62,Cargill,Ontario,Canada
1Z0S670APGP10856c5f8,2016,1/29/2016,S670,12/8/2025,3452.65,6423.75,48.9,26.7,5.6,Балин,Khmelnytskyi Oblast,Ukraine
1Z0S670AVFR09a16b81b,2015,5/13/2015,S670,11/18/2025,3132,5097.95,44.3,28,12,Rasova,Constanța,Romania
1Z0T660BHFL00ffa9c34,2016,12/4/2015,T660,9/10/2025,3946.2,6142.8,42.3,-4,,Iglesias,Burgos,Spain
1H0S670HPC07bc0d2db7,2012,2/2/2012,S670H,5/15/2025,3357.2998,5476.05,49.1,34.7,8.799999,Гупалівка,Dnipropetrovsk Oblast,Ukraine
1H0S680SAE0766862,2014,6/4/2014,S680,12/11/2025,3815.7,4918.75,-28.6,114.8,12,Nanson,Western Australia,Australia
1H0S680SAF0776454,2015,7/16/2015,S680,12/3/2025,3028.1,4103.6,-30.5,148.6,9.144,Come by Chance,New South Wales,Australia
1J0S760BVK0130109,2019,7/12/2019,S760,12/10/2025,5141.55,7395.05,-28.9,-62.2,10.5,Bandera,Santiago del Estero,Argentina
1Z0S770AHJE194bd2a4c,2018,2/1/2018,S770,12/9/2025,5651.4,8341.75,51.8,34,5.6,Перше Травня,Sumy Oblast,Ukraine
1CQS660AHE0090204,2014,9/4/2014,S660,12/9/2025,3700.65,5284.3,-26.8,-57,,San Ignacio,Misiones,Paraguay
1CQS680AAF0090293,2015,2/20/2015,S680,11/8/2025,3377.85,4734.8,-9.3,-45,11.9,,Piauí,Brazil
1H0S680SLD0756395,2013,4/19/2013,S680,12/11/2025,3624.75,4937.8,-33.2,117.3,12.1,Piesseville,Western Australia,Australia
1J0S660BCH0120120,2017,3/31/2017,S660,12/9/2025,5073.15,7804.5,-38.2,-58.8,7,Lobería,Buenos Aires Province,Argentina
1Z0T560BHDH07f2148a8,2013,3/1/2013,T560,12/9/2025,3392.0498,5434.9,43.7,1.9,5.7999997,Fiac,Tarn,France
1Z0S660ALGA10b48ae52,2016,3/17/2016,S660,11/18/2025,3568.45,5337.4,48.6,34.8,5.6,Балівка,Dnipropetrovsk Oblast,Ukraine
1Z0T660AVHP153274b4c,2017,5/23/2017,T660,11/5/2025,3094.55,4634.4,47.4,21.2,6,Nádudvar,Hajdú-Bihar,Hungary
1CQS670ATH0120364,2017,11/30/2017,S670,11/12/2025,4272.75,6010.3,-22.8,-55,11.9,,Mato Grosso do Sul,Brazil
1H0S680SAE0766411,2014,5/5/2014,S680,11/4/2025,3325.75,4593.2,50.4,-112.7,8.839,Lomond,Alberta,Canada
1H0S670SPC0755165,2013,11/26/2012,S670,12/8/2025,3238.9,5022.8,-33.9,-57.8,12.12,Sarandí,Colonia,Uruguay
1H0S680SLF0776374,2015,7/8/2015,S680,11/21/2025,3075.15,4696.55,40.9,-88.6,9.144,Pontiac,Illinois,United States
1J0S760BHK0130115,2019,7/31/2019,S760,12/11/2025,3301.45,5104.5,-38.3,-58.7,10.5,Tamangueyú,Buenos Aires Province,Argentina
1J0S680BKF0090033,2015,4/24/2015,S680,12/11/2025,8153.85,11675.8,-38.8,-62.1,12,Villa General Arias,Buenos Aires Province,Argentina
1J0S680BVH0120154,2017,10/18/2017,S680,12/11/2025,5509.55,7751.45,-38.3,-59.2,13.5,La Dulce,Buenos Aires Province,Argentina
1H0S680SEC0747908,2012,12/7/2012,S680,7/5/2025,4212.9,5745.95,0,0,,,,
1Z0T660ALDE022f6af6c,2013,1/1/2013,T660,12/11/2025,4870.8,7238.1,47.5,33.3,9.143999,Заградівка,Kherson Oblast,Ukraine
1J0S660BAH0120192,2017,8/19/2017,S660,12/10/2025,4071.45,6031.95,-34.3,-59.4,10.6,Solís,Buenos Aires Province,Argentina
1J0S680BHF0110130,2016,11/18/2015,S680,12/6/2025,5235.2,7238.8,-31.6,-62.4,11.9,Colonia Prosperidad,Córdoba,Argentina
1J0S770BEK0130137,2019,9/10/2019,S770,12/11/2025,3240.2,4535,-27.3,-61.2,9.45,General Pinedo,Chaco,Argentina
1Z0S770AVJD197d1bd60,2018,1/10/2018,S770,12/5/2025,3249.5,4940.1,0,0,9.14,,,
1Z0T660BTDL0b4a82bb7,2014,11/1/2013,T660,9/22/2025,5545.8,8397.7,37,-5.6,6.7499995,El Coronil,Seville,Spain
1Z0S760ALJD1074633ea,2018,6/12/2018,S760,11/27/2025,3701.4,6892.25,50.9,32.4,5.6,Бурімка,Chernihiv Oblast,Ukraine
1Z0W550APBD0024ed71e,2012,12/1/2011,W550,11/2/2025,3880.4998,6481.7,53.3,66.7,9.143999,,North Kazakhstan,Kazakhstan
1H0S670SCD0755679,2013,1/16/2013,S670,11/13/2025,3090.35,4860.85,46.5,-67.7,6.096,Summerfield,New Brunswick,Canada
1H0S660SCC0746991,2012,8/14/2012,S660,9/24/2025,3350.45,5293.65,0,0,6.08,,,
1Z0W540ATFD0e7a104e0,2015,4/1/2015,W540,11/25/2025,4583.3,9089.5,42.8,73.7,4.2,,,Kyrgyzstan
1J0S670BTF0090069,2015,3/27/2015,S670,12/7/2025,4590.5,7461,-31.3,-59.2,13,Sauce de Luna,Entre Ríos,Argentina
1J0S680BKJ0120186,2017,3/8/2018,S680,12/6/2025,3741.75,5120,-32.6,-61.6,13.5,Las Parejas,Santa Fe,Argentina
1CQS670ACJ0125446,2018,11/26/2018,S670,3/3/2025,3243.7,4798.45,-21.7,-55.1,12,,Mato Grosso do Sul,Brazil
1Z0T660BPEL0c014526d,2014,5/1/2014,T660,11/23/2025,3280.05,5108.3,41.1,-1.2,7.45,Lanzuela,Teruel,Spain
1CQS670AVG0110410,2016,6/2/2016,S670,12/9/2025,4065.1,8060.5,-13.4,-56.3,12,,Mato Grosso,Brazil
1H0S660SJB0745506,2011,11/16/2011,S660,12/8/2025,4185.3,6256,-27.6,26.8,7.5,Nala NU,Free State,South Africa
1H0S680SCD0759affbff,2013,1/10/2013,S680,12/1/2025,3107.45,5135.2,49,31.7,5.6,Макіївка,Cherkasy Oblast,Ukraine
1Z0S680ACHC107229,2017,7/11/2017,S680,12/11/2025,3412.45,4394.4,-31.6,117.5,13.72,North Tammin,Western Australia,Australia
1Z0W550BECH0febca5b3,2012,6/1/2012,W550,12/11/2025,3849,5480.65,46.4,24.3,4.4999995,Ogra,Mureș,Romania
1J0S660BCE0090001,2014,8/28/2014,S660,12/11/2025,4093.85,5721.8,-34.8,-59.9,10.5,Coronel Mon,Buenos Aires Province,Argentina
1J0S660BKH0120221,2017,10/13/2017,S660,12/10/2025,3901.45,5346.15,-31.6,-58.7,8.95,Jubileo,Entre Ríos,Argentina
1H0S680SED0755640,2013,2/5/2013,S680,11/12/2025,3241.6,4717.35,48.1,-96.8,12.192,Warren,Minnesota,United States
1J0S670BHH0120136,2017,4/20/2017,S670,11/17/2025,5091.25,7628.25,-25.4,-63.9,12,Gaona,Salta,Argentina
1Z0S670TEFR01a60d2d5,2015,5/18/2015,S670,10/29/2025,3356,5450.4,45,11.4,7.8,Ceneselli,Rovigo,Italy
1Z0T660BECL0d4cf24f8,2012,1/1/2012,T660,8/20/2025,3323.9,5292.25,41.7,-5.3,7.4999995,Villavellid,Valladolid,Spain
1Z0W550AJBD0d5bea51b,2012,12/1/2011,W550,10/20/2025,3994.95,5987.45,53.7,69,9.143999,,North Kazakhstan,Kazakhstan
1CQS660AHF0110243,2016,10/26/2015,S660,12/11/2025,3282.4,5282.45,-24.7,-57.2,9.144,Villa del Rosario,San Pedro,Paraguay
1H0S660SEC0755141,2013,11/16/2012,S660,12/4/2025,3469.85,5945.3,-26.3,29,10.67,Govan Mbeki NU,Mpumalanga,South Africa
1H0S660SLC07f1e94c47,2012,1/11/2012,S660,7/28/2025,4142,6386.05,42,0.3,7.6,Fonz,Huesca,Spain
1H0S680SCE0766382,2014,5/5/2014,S680,11/28/2025,3694.1,5075.9,-27.5,151.6,12,Mount Irving,Queensland,Australia
1J0S670BAG0110184,2016,4/13/2016,S670,12/11/2025,3736.25,5588,-34,-60.9,12,Carabelas,Buenos Aires Province,Argentina
1H0S660SJE0775044,2015,11/25/2014,S660,12/2/2025,3467.6,5674.4,-27.4,28.8,9.12,Mafube NU,Free State,South Africa
1H0S670SCE0765928,2014,2/28/2014,S670,11/19/2025,3174.45,4543.7,36.1,-102.1,6.096,Stratford,Texas,United States
1H0S780SPJ0800279,2018,12/22/2017,S780,12/10/2025,3828.35,5996.05,-28.4,24.7,10.6,Dikgatlong NU,Northern Cape,South Africa
1J0S670BHK0125120,2018,3/7/2019,S670,12/11/2025,4098.7,6594.55,-27,-61.8,10.9,Sachayoj,Santiago del Estero,Argentina
1J0S680BAF0110139,2016,1/22/2016,S680,12/11/2025,6209.05,8736.25,-34.5,-61.9,12.1,Germania,Buenos Aires Province,Argentina
1CQS680AHF0110285,2015,9/1/2015,S680,8/22/2025,5067.8,7567.9,0,0,,,,
1H0S680SLD0757658,2013,8/19/2013,S680,11/4/2025,3480.3,4462.95,39.8,-87.8,9.144,Metcalf,Illinois,United States
1H0S680SVE0766441,2014,5/7/2014,S680,12/11/2025,3528.85,5410.95,-33.5,-57.4,13.5,Castillos,Soriano,Uruguay
1Z0S660APHA139a74c90,2017,6/19/2017,S660,11/7/2025,3627.15,5054.8,51.9,67.3,9.143999,,Akmola,Kazakhstan
1Z0T660APJP12ed723e4,2018,5/11/2018,T660,11/18/2025,4990.25,7939.75,40.9,-5.4,7.5,Alconada,Salamanca,Spain
1CQS670AJJ0125297,2018,8/27/2018,S670,12/11/2025,3544.05,5148.55,-24.3,-56.1,,Maracaná,Canindeyú,Paraguay
1H0S680SKF0785147,2016,12/3/2015,S680,10/31/2025,3176.95,4376.8,43,-116.1,9.144,Grand View,Idaho,United States
1Z0S690TCGR1e55d8a85,2016,2/8/2016,S690,12/10/2025,5441.4,9106.85,50.4,29.2,8.4,Ставки,Zhytomyr Oblast,Ukraine
1H0S670SKE077de96fad,2014,2/18/2014,S670,12/10/2025,3874.8499,8411.9,51.6,30.9,5.6,Антоновичі,Chernihiv Oblast,Ukraine
1Z0S670AVGC102663,2016,7/4/2016,S670,12/11/2025,3450.3,5053.05,-34.7,144.3,12,Maude,New South Wales,Australia
1CQS690ACH0120102,2017,2/24/2017,S690,12/5/2025,4282,6244.4,-37.1,-62.6,13.5,Carhué,Buenos Aires Province,Argentina
1H0S680SED0757355,2013,7/19/2013,S680,11/5/2025,3362.65,4569.05,51.2,-108,13.411,Elrose,Saskatchewan,Canada
1J0S670BPH0120255,2017,9/20/2017,S670,12/11/2025,4641.5,7501.2,-26.4,-64.3,12,Rapelli,Santiago del Estero,Argentina
1H0S660SAE0765196,2014,1/29/2014,S660,7/22/2025,3293.05,4781.55,-26.2,27.4,7.6,Merafong City NU,Gauteng,South Africa
1H0S660SCC07c976f4db,2012,4/12/2012,S660,9/1/2025,3502.2998,5248.1,54.6,69.7,9.139999,,North Kazakhstan,Kazakhstan
1H0S670STE0766376,2014,3/21/2014,S670,11/21/2025,3670.2,5235.55,44.1,-80,10.667999,Mono,Ontario,Canada
1Z0S770ALJD13d96cafd,2018,6/5/2018,S770,12/11/2025,3358.65,4811.6,50.3,29.5,5.6,Брусилів,Zhytomyr Oblast,Ukraine
1CQS680AVF0110251,2015,8/10/2015,S680,12/5/2025,4079.25,5621.7,-13.4,-55.9,11.9,,Mato Grosso,Brazil
1J0S670BEH0120249,2017,9/28/2017,S670,12/11/2025,6350.95,10332.15,-38.5,-60.3,12,Tres Arroyos,Buenos Aires Province,Argentina
1Z0S670AEHB11a3974da,2017,3/24/2017,S670,12/10/2025,3472.4,5200.05,50.3,35.2,5.6,Яблучне,Sumy Oblast,Ukraine
1Z0S770ATJE111994,2018,6/15/2018,S770,11/25/2025,3702.95,5735.55,-26.3,151.3,13.4,Brigooda,Queensland,Australia
1H0S680SCC0746436,2012,5/18/2012,S680,12/11/2025,4449.8,5668.7,-31.3,118.8,18,Bodallin,Western Australia,Australia
1H0S680SJE0766047,2014,3/19/2014,S680,12/11/2025,3099.1,3880.6,-35.2,140.6,12.1,Lameroo,South Australia,Australia
1J0S660BAH0120158,2017,6/12/2017,S660,11/17/2025,4150.85,5795.8,-31.1,-63.4,8.4,Santa Rosa de Río Primero,Córdoba,Argentina
1J0S670BJH0120288,2017,11/1/2017,S670,12/10/2025,3065.95,5278.05,-37.4,-59.5,8.4,Vela,Buenos Aires Province,Argentina
1J0S660BCJ0125105,2018,7/24/2018,S660,12/11/2025,3313.5,4900.15,-37.3,-61.9,10.5,La Primavera,Buenos Aires Province,Argentina
1Z0S680AHHC147faf73d,2017,4/3/2017,S680,10/29/2025,4355.7495,6348.35,50.6,24.9,10.499999,Мирне,Volyn Oblast,Ukraine
1H0S680SHC0747843,2012,12/23/2012,S680,12/10/2025,5953.45,8999.6,-18.2,-53.2,10.8,,Mato Grosso do Sul,Brazil
1Z0S670AJGA1c669e3ad,2016,3/18/2016,S670,12/4/2025,3500.0999,5535.95,50,26.8,6.0959997,Підлісці,Khmelnytskyi Oblast,Ukraine
1CQS670ALJ0120431,2017,2/23/2018,S670,10/22/2025,3267,4948.75,-9.2,-45.4,10.5,,Piauí,Brazil
1Z0W550AVCG0d6ff96a0,2012,5/1/2012,W550,12/2/2025,3627.05,5577.35,0,0,6.1,,,
1H0S660SEE0775019,2015,11/26/2014,S660,11/7/2025,3469.9,5008.15,-26.5,25.8,9,Tswaing NU,North West,South Africa
1H0S680SVD0755891,2013,3/4/2013,S680,12/11/2025,3291.3,4412.8,-36.1,142.5,12,Brim,Victoria,Australia
1J0S670BAF0110121,2015,10/8/2015,S670,10/8/2025,3653.9,5079.05,-33.2,-64.2,9.45,Las Acequias,Córdoba,Argentina
1J0S670BPF0090073,2015,4/27/2015,S670,12/11/2025,5886.25,8952,-35.6,-63.1,12,Fortín Olavarría,Buenos Aires Province,Argentina
1J0S770BVM0135139,2020,1/4/2021,S770,12/7/2025,4321.15,5899.05,-36.5,-62.5,12,Garré,Buenos Aires Province,Argentina
1H0S670SPC0755182,2013,11/27/2012,S670,11/14/2025,3651.45,5479.75,37.6,-100.4,10.668,Montezuma,Kansas,United States
1Z0S670AEGA1d9a89284,2016,2/29/2016,S670,11/26/2025,5288.65,7691.95,49.8,32.4,9,Привітне,Cherkasy Oblast,Ukraine
1H0S660SCE0765205,2014,1/30/2014,S660,8/18/2025,3262.7,4973.55,-27.9,30.7,7.2799997,Abaqulusi NU,KwaZulu-Natal,South Africa
1CQS550AHJ0125251,2018,9/24/2018,S550,10/22/2025,4424.85,6653.1,-22.6,-53.7,9.144,,Mato Grosso do Sul,Brazil
1H0S680SCC0747375,2012,8/15/2012,S680,12/10/2025,3620.95,4921.4,-28.4,114.5,12.2,Sandy Gully,Western Australia,Australia
1J0S660BEF0090046,2015,3/27/2015,S660,12/11/2025,3622.95,5377.05,-32.7,-62.1,10.4,Marcos Juárez,Córdoba,Argentina
1J0S760BVL0130158,2019,1/20/2020,S760,12/3/2025,3362.85,4775.2,-30.7,-61,8.4,Elisa,Santa Fe,Argentina
1J0S660BVH0120160,2017,6/26/2017,S660,12/11/2025,3771.7,5874,-38.7,-60,10.5,San Francisco de Bellocq,Buenos Aires Province,Argentina
1J0S660BEE0090014,2014,11/21/2014,S660,12/3/2025,4769.15,6278.55,-31.5,-58.6,9.144,General Campos,Entre Ríos,Argentina
1J0S670BCG0110246,2016,9/8/2016,S670,11/22/2025,3789.05,5514.15,-33.4,-63.7,9.45,Alejandro Roca,Córdoba,Argentina
1CQS670AVJ0125416,2018,11/10/2018,S670,10/27/2025,3529.35,5744.45,-7.6,-46,10.6,Balsas,Maranhão,Brazil
1H0S670SCC0746d22641,2012,4/12/2012,S670,7/22/2025,3781.7,6987.35,-12,-77.1,9.15,Lima,Lima Province,Peru
